Title,Description,Keywords,context,doc_id,Answer.noqu,Answer.q1_types,Answer.q1correct,Answer.q1correct1,Answer.q1incorrect1,Answer.q1incorrect2,Answer.q1incorrect3,Answer.q2_types,Answer.q2correct,Answer.q2correct1,Answer.q2incorrect1,Answer.q2incorrect2,Answer.q2incorrect3,Answer.question1,Answer.question2
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","And I have every word on floppies . But in the end , I left the old machine out in the garage , under the spare kitty litter pan and the empty coffee cannisters I intend to use around the house in imaginative and decorative ways . Besides , I was skeptical about writing a story without "" l 's "" or question marks , would n't you be ?",Blog_1011090,,q1_type1_,It wasn't functional.,{},It wasn't functional with floppies.,I didn't know how to use it in a decorative way.,The old machine was stuck in the kitty litter pan.,no_answer,{},{},{},{},{},What may be your reason for leaving the old machine in the garage?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I went for a long bike ride through the foothills of the Sandia Mountains , high above the city of albuquerque this evening . Even when I was huffing and puffing up the steep incline I felt full of life . Very fulfilling . Very soulful ... the landscape colored with purples and pinks and golds ... I wanted to go farther and farther into the desert ... but it is time for wine and baked potatoes and company .",Blog_1433459,,q1_type1_,I wanted a beautiful experience.,{},I wanted a relaxing experience..,I wanted to get away from Albuquerque.,I wanted to find some potatoes in the desert.,no_answer,{},{},{},{},{},What may be your reason for going on the long bike ride?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","News . - best article I have found . No bail out right now , does n't mean it ai n't gunna happen . I did contact my senators and congressman to make sure they knew that I would vote against them in the next election if they voted for this bail out , whether it passed or not .",Blog_430916,,q1_type3,No I think that they are not good and am against them.,{},Yes I love the terms of the bailout because they are so good and fair.,Yes and I just love the ideas of the government officials that are for this bailout.,The bailout is very wise and fair and I still don't like it very much.,q2_type4,I will withhold my vote in the upcoming elections from the supporters of this bailout.,{},I will start to vote for the government officials that support these types of things.,I will organize a fund raiser for the supporters.,I will sign a petition that shows my support for the bailout.,Do you like the terms of the bailout?,If the bailout passes then what do you intend to do about it?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I 've started the process . I 'm going to be moving . So far I 've sold a box of books ( which did n't make much of a dent at all ) , given a bag of clothes go Goodwill , given my 30 days notice to my landlord , and gotten a cell - phone . I do n't like having a cell phone .",Blog_379978,,q1_type2,They will continue packing their clothes for the move.,{},Help their friends plan the going away party before they go to the next job.,Go online to start looking for their next job.,Give co-workers their cell phone number so they can stay in touch after they go to the new job.,no_answer,{},{},{},{},{},What will be the next thing the narrator does now that they have given notice?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Here 's the gist of what I wrote : I used to be a vegetarian . Then I got pregnant and craved meat . Then I was n't a vegetarian anymore . Then my husband was n't a vegetarian anymore .,Blog_1592043,,q1_type1_,Cravings for many different foods are a common phenomena that is experienced during pregnancy,Cravings is one way that the body expresses the desire for certain nutrients,She was only eating kale and broccoli and this simply wasn't enough nutrients for the baby to grow,Meat was to be the baby's favorite food and this is why the speaker wanted to eat it during the pregnancy,The speaker was too skinny to keep growing the fetus so she had to eat meat in order to bulk up,no_answer,{},{},{},{},{},Why did the person crave meat while they were pregnant?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Making memories . At Sunset Beach , North Carolina . I really like these crazy little mileage markers . This one was outside of the Sunset Slush Italian ice place in Ocean Isle , North Carolina . As much as I would love to visit any of the places on that sign , where I sat as I looked at that sign , right there on the wicker chair outside the yellow building with all the delicious dessert safely stored inside , right there was exactly where I was supposed to be at that moment .",Blog_326878,,q1_type1_,They are on vacation.,They are in love with Sunset Beach.,They are in love with North Carolina.,They are off work for the day.,They are about to get a promotion.,no_answer,{},{},{},{},{},Why does the narrator feel a sense of relaxation?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I did n't know you could just walk into the building , lol . If she does n't get in trouble I might go with Becca . Today Shell , Becca , and I went to Border 's . We were sitting down reading and chilling and stuff , and then I finished Meru Puri 3 , so I went to go put it back . When I came back , I asked if they wanted to go back home soon .",Blog_1110835,,q1_type1_,To get a new book.,To get something to read.,To get a shell necklace.,To get a new border for their ceiling.,To get some food.,no_answer,{},{},{},{},{},Why does the narrator want to go to the store?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Its very tedious and time consuming . And most of the time my cookies suck anyway . I made a devils food cake yesterday . We were having company and I was trying to do my "" suzy homemaker "" routine .",Blog_853057,,q1_type3,No I am not Suzy of the suzy homemaker routine.,{},Yes I am the one and only Suzy of the suzy homemaker routine.,No but Suzy is my friend.,I work for Suzy of the suzy homemaker routine.,q2_type1_,Cooking can be very tedious and difficult.,{},The routine is confusing for me since I am not Suzy.,"The routine has been described by Suzy, but she was drunk.",My understanding of the routine is not based on my name.,Is your name Suzy of the suzy homemaker routine?,Why is this activity so tedious?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Oh well , I 'll sure we 'll be wishing for this nice warm weather come January ! ! The in laws are still here and kickin ' ! Today is MIL 's birthday and we 're going out to dinner at Olive Garden instead of me cooking again .",Blog_400396,,q1_type1_,It's Mils birthday.,It's a special event for Mil.,It's a special event for the in laws.,It's the birthday of one of the in laws.,It's the in laws birthday.,no_answer,{},{},{},{},{},Why is the narrator going out rather than cooking?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","By the end of the day I was back to the ache / tenderness I am use to . Now on using ice packs what is the best thing to do . I have those "" Cold packs "" that are more of a gel than a hard frozen pack . But they are really cold and the surface is plastic .",Blog_350117,,q1_type1_,To soothe their body.,To help with pain.,So it drinks very cold.,They want their six-pack of beer very cold.,They want to drink it cold.,no_answer,{},{},{},{},{},Why does the narrator want the item to be cold?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","There was a time we did n't talk at all but somehow I always thought that if I needed him , he would be there . But now , I ca n't feel that trust anymore . It 's killing me , more than anything else .",Blog_624775,noqu,no_answer,{},{},{},{},{},no_answer,{},{},{},{},{},{},{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The woman who normally runs the desk , is working in the evenings all week as the front end supervisor . Ok ... she 's good at it , and I have no problems with her being a supervisor . I also do n't have any problems with her being scheduled for night shifts , knowing that this will put me on the desk . But the problem is still the same .",Blog_133977,,q1_type1_,She continues the issues I've had with management.,{},She is developing new issues with management.,I wanted to be the front end supervisor for night shifts.,She's not good at scheduling my shifts.,no_answer,{},{},{},{},{},What may be your reason for not wanting her as a supervisor?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","So I have an iPod now right ? I blogged about it before . When Glo sent it to me , it was only the body - I was the one responsible for getting its accessories . It was very much fine with me , ever since the iPod was free I got the iPod Nano 8 GB ( 3nd gen ) by the way .",Blog_1463475,,q1_type2,i WILL NEED TO FIND AN ACCESSORIES STORE.,{},i WILL FORGO THE ACCESSORIES UNTIL LATER.,I MAY NEED TO UPGRADE TO THE LATEST VERSION.,I WILL UPLOAD MUSIC TO MY IPOD NEXT WEEK.,no_answer,{},{},{},{},{},wHAT MAY HAPPEN AFTER RECEIVING MY IPOD NANO 8?,{}
