Title,Description,Keywords,concept_1,premise_1,hypothesis_1,concept_2,premise_2,hypothesis_2,concept_3,premise_3,hypothesis_3,concept_4,premise_4,hypothesis_4,concept_5,premise_5,hypothesis_5
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin has been shown to be an effective treatment for sleep disorders.",idol,"Generally, an idol can consist of any number of objects.","Generally, an idol can be made of any material.",dance floor,"Generally, a dance floor can be made of any material, including wood.","Generally, a dance floor can be made of any material, but it must be durable.",interference,"Generally, interferences have to do with something.","Generally, interferences can consist of anything that interferes.",messenger,Messenger can be used to send messages to the server.,Messenger can be considered to be an extension of the web browser.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",organic compound,"Generally, organic compounds are formed in the body.","Typically, an organic compound produces a chemical reaction with other molecules.",stand,"Generally, a stand has two main components.","Typically, a stand can be attached to a vehicle's front bumper.",organic compound,"Generally, organic compounds are formed in the body.","Generally, organic compounds are considered to be less toxic than inorganic compounds.",archer,"Generally, an archer should be able to shoot a bow.","Typically, an archer may have a bow.",kitty,"Typically, a kitty may be placed in a kennel with other cats.","Generally, kitties are kept indoors."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",lung cancer,"Generally, lung cancer is treated with surgery, radiation, chemotherapy, or both.","Generally, lung cancers have two main types.",news,"Generally, news may be delivered to you by email.","Generally, news are published on a daily basis.",pistachios,"Generally, pistachios have a sweet, nutty flavour.","Generally, pistachios have a bitter taste.",multicellular organism,Multicellular organisms are able to adapt to changes.,"Generally, a multicellular organism should be able to adapt.",kingdom,"Generally, a kingdom may be ruled by a king, queen, prince, princess, count, baron, earl, viscount","Generally, a kingdom is considered to be a political entity."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",patio,"Generally, patios can be considered to be part of the landscape.","Generally, patios can be a great place to hang out with your friends.",polo shirt,"Typically, a polo shirt has a button.","Typically, polo shirts have a button.",interference,"Generally, interferences have to do with something.","Generally, interferences can be considered to be anything that interferes with normal functioning.",nature,Nature can be found in every corner of the globe.,Nature may be able to predict the weather.,other vertebrate,"Typically, other vertebrates may have been able to evolve.","Generally, other vertebrates have the ability to move."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",skier,"Generally, skiers are predisposed to falling over.","Generally, skiers are allowed to use their own skis or snowboards.",brussels sprouts,"Typically, brussels sprouts are cooked until tender.","Typically, brussels sprouts may be eaten raw, cooked, steamed or boiled.",wimp,"Generally, a wimp may be a person who lacks confidence.","Generally, wimps are people who don't have the balls.",christmas ornament,"Usually, a christmas ornaments can be used to decorate a tree.","Typically, christmas ornaments have been decorated.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring is born to the mother."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",parsnips,"Typically, parsnips may be eaten raw or cooked.","Typically, parsnips may be found in the garden.",account,"Typically, an account may have a single user.","Typically, an account produces a single transaction.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Typically, a scottish terrier may be neutered.",marriage,"Typically, a marriage may have been formed.","Generally, a marriage can be composed of any number of people.",cleaner,Cleaners may be used to clean.,"Generally, a cleaner can be purchased."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",wimp,"Generally, a wimp may be a person who lacks confidence.","Generally, wimps can't be trusted to do anything.",conveyer,Conveyers are used to move items from one place to another.,"Typically, a conveyer may be used to move an object from one place to another.",time,"Generally, a time may be deemed to have passed if an employee's employment relationship with an employer terminates.","Generally, a time can consist of any period.",speaker,Speakers can be made of any material.,Speakers can be used to send messages.,kingdom,"Generally, a kingdom may be ruled by a king, queen, prince, princess, count, baron, earl, viscount","Generally, kingdoms have a single ruler."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",news,"Generally, news may be delivered to you by email.","Generally, news can be categorized.",baseball player,"Generally, a baseball player should be able to hit a curveball.","Typically, a baseball player may have an average fastball velocity.",doghouse,"Generally, a doghouse can be made of wood or metal.","Generally, a doghouse can be removed from the house, but only if you have permission from your landlord.",sermon,"Generally, sermons can be used to preach the Gospel.","Generally, sermons can be used to teach a person about God.",crank,"Generally, cranks have two main components.","Generally, cranks may be purchased from a local mechanic."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mast,"Typically, masts can be fastened to the hull.","Typically, masts are made of steel.",cook,Cooks have a lot to learn about cooking.,"Generally, a cook is a person who makes food.",horseback riding,"Generally, horseback ridings have two main types of ridings.","Generally, horseback riding can be considered a sport.",living room,"Generally, a living room can be used for several purposes.","Generally, a living room can be considered to be part of the home.",clay,"Generally, clays can be found in many places in the world.","Typically, a clay can be fastened to a surface."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mast,"Typically, masts can be fastened to the hull.","Typically, masts may be made of steel.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Generally, a scottish terrier should be neutered.",piano stool,"Generally, a piano stool can be made of many different materials.","Typically, a piano stool can be removed from the floor.",blind,"Generally, blinds can be installed in your home or business.","Generally, blinds can be removed from windows with a simple screwdriver.",christmas ornament,"Usually, a christmas ornaments can be used to decorate a tree.","Typically, christmas ornaments have to be purchased."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",trench coat,"Typically, a trench coat may be worn with a blouse.","Typically, trench coats have long sleeves.",mover,"Generally, a mover can be made of any material that can be moved.","Generally, a mover may be required to pay an additional fee.",cavity,"Typically, cavities have to be cleaned out.","Generally, cavities can be removed from the human body by surgery.",stimulant,Stimulants are stimulants that are used to treat ADHD.,Stimulants are drugs that can be used to treat ADHD.,playroom,"Generally, playrooms have been built.","Typically, a playroom has a door."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",vulture,"Generally, vultures can only eat dead animals.","Generally, vultures are predisposed to scavenging carcasses.",colander,"Generally, a colander can be made of any material.","Generally, a colander can be removed from the hot water to rinse.",mountain,"Generally, a mountain can be considered to be a large hill.","Generally, a mountain should be able to support its own weight.",cavity,"Typically, cavities have to be cleaned out.","Generally, cavities should be filled.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, herbivorous animals have the ability to digest plant matter."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",sandwich maker,"Typically, a sandwich maker can be made.","Typically, a sandwich maker can be used to make a sandwich.",brussels sprouts,"Typically, brussels sprouts are cooked until tender.","Typically, brussels sprouts may have a greenish tint to them.",nature,Nature can be found in every corner of the globe.,Nature can be found in many places.,suicide,"Generally, a suicide can consist of many different things.",Suicide can be considered to be a major public health problem worldwide.,knight,Knights can be made of any material.,Knights are known for their loyalty to their liege lords.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",dough,"Generally, doughs can be made of any combination of flour, water.","Generally, doughs can be used for several purposes.",christmas ornament,"Usually, a christmas ornaments can be used to decorate a tree.","Typically, christmas ornaments are made of gold, silver.",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be composed of many different types of genes.",pickle,"Typically, pickles have a sweet, tangy taste.","Typically, pickles are eaten fresh.",germ,"Generally, a germs can consist of bacteria, viruses, fungi, protozoa, arthropods, etc.",Germs have been around for a very long time.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",abrasion,"Typically, an abrasion may have been caused by a sharp object.","Typically, an abrasion can be felt.",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin should be taken before bedtime to help you sleep.",kitty,"Typically, a kitty may be placed in a kennel with other cats.","Typically, a kitty may be placed in a kennel.",locker room,"Generally, locker rooms are segregated by gender.","Generally, a locker room should be a safe zone.",car park,"Generally, car parks can be found in the city centre, close to train stations.","Generally, car parks can be found in the central business district."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",multicellular organism,Multicellular organisms are able to adapt to changes.,Multicellular organisms have the ability to change.,melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin may have beneficial effects.",consciousness,Consciousness can be composed of many different states.,Consciousness can be used to describe a person's experience.,contribution,Contributions can be given.,"Generally, a contribution should only be accepted.",messenger,Messenger can be used to send messages to the server.,"Generally, messengers should be able to communicate with people."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",adhesive bandage,"Typically, an adhesive bandage can be fastened to a patient's skin.","Typically, an adhesive bandage can be placed on the skin.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily is a flowering plant.",knight,Knights can be made of any material.,Knights can be used to defend against enemy units.,menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, a menu has three main sections.",meteorology,Meteorology are all about the weather.,Meteorology is the science concerned with weather.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",rowboat,"Generally, a rowboat should be able to float.","Generally, a rowboat is used to transport people or cargo.",mast,"Typically, masts can be fastened to the hull.","Generally, masts can be made from any material, including wood.",process,"Typically, a process can be composed of multiple steps, each of which can be executed independently.","Typically, a process can be composed of several stages.",sibling,"Generally, siblings are expected to help one another.","Generally, a sibling is someone who shares a blood relationship.",menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, menus have been designed to be simple to use."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",colander,"Generally, a colander can be made of any material.","Generally, colanders are used in the kitchen.",gutter,"Generally, a gutter can consist of several layers of material.","Typically, a gutter has been installed in the street to collect rainwater.",interference,"Generally, interferences have to do with something.","Generally, interferences can consist of anything that interferes with normal function.",chair,"Generally, chairs have a back.","Generally, a chair can be moved.",consciousness,Consciousness can be composed of many different states.,Consciousness can be found in all of us.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",skier,"Generally, skiers are predisposed to falling over.","Generally, skiers are allowed to use their skis on groomed slopes.",medical condition,"Generally, a medical condition should be evaluated by a doctor.","Generally, a medical condition is diagnosed by a doctor.",stimulation,Stimulation can also be induced.,Stimulation is an important part of the treatment process.,catapult,Catapults can be found in almost every area of the world.,"Catapults can be attached to walls, ceilings, or other surfaces.",hive,"Generally, a hive can be composed of many different types of bees.","Typically, hives can be identified."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",crank,"Generally, cranks have two main components.","Generally, cranks have three main parts.",germ,"Generally, a germs can consist of bacteria, viruses, fungi, protozoa, arthropods, etc.","Generally, germs can be removed from the body by taking antibiotics.",lily,"Typically, a lily may be planted in the ground.","Generally, lilies are used to decor.",fat diet,"Generally, a fat diet may have some benefits for people.","Generally, a fat diet can cause weight.",clay,"Generally, clays can be found in many places in the world.","Generally, clays can be found in many different locations."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",consciousness,Consciousness can be composed of many different states.,Consciousness can be composed of many different elements.,imposter,"Typically, an imposter can be spotted.","Typically, an imposter produces a fake ID.",hours,"During rush hours, you can take the train to the city centre.","During business hours, you can make an appointment to speak with a counselor.",vegetation,"Generally, vegetation can be used to cover a large area.","Generally, vegetation can be considered to be part of the ecosystem.",horseback riding,"Generally, horseback ridings have two main types of ridings.","Generally, horseback ridings have two main types of riding areas."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",bear,"Generally, a bear can be found in any forest.","Generally, a bear can be found in any forested area.",jasmine tea,"Typically, a jasmine tea produces a fruity, floral flavor.","Generally, a jasmine tea is made by infusing the leaves with hot water.",emission,"Generally, emissions have declined in the past.","Typically, an emission has to occur at a certain time.",sermon,"Generally, sermons can be used to preach the Gospel.","Generally, a sermon can consist of a single sentence.",entertainer,"Typically, an entertainer produces his or her own music.",Entertainers are always looking for new ways to entertain their audiences.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mast,"Typically, masts can be fastened to the hull.","Generally, masts have to be built.",organic compound,"Generally, organic compounds are formed in the body.","Typically, an organic compound can be synthesized by a chemical reaction.",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Typically, other vertebrates may be able to detect a predator's approach.",messenger,Messenger can be used to send messages to the server.,"Generally, messengers should be able to deliver messages.",horseback riding,"Generally, horseback ridings have two main types of ridings.","Generally, horseback riding is a sport."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",laugh,"Generally, a laugh can be found in almost any story.","Generally, a laugh can consist of a single sound.",cleaner,Cleaners may be used to clean.,"Generally, a cleaner can be found.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, a wild cat is an animal that has been domesticated.",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be removed from a human cell.",petal,"Generally, a petal can be considered to be part of a flower's petals.","Generally, a petal can be attached to a flower."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",attacker,"Typically, attackers have to compromise a user's device.","Typically, an attacker can use a specially crafted file to execute arbitrary code.",locker room,"Generally, locker rooms are segregated by gender.","Generally, a locker room is a private place.",dough,"Generally, doughs can be made of any combination of flour, water.","Typically, a dough has been kneaded.",nature,Nature can be found in every corner of the globe.,"Generally, nature has provided us with an abundance of food.",freshwater crocodile,Freshwater crocodiles should be considered a protected species.,Freshwater crocodiles are found throughout the world.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",interference,"Generally, interferences have to do with something.","Generally, interferences can be removed from the system by using software.",can,"Generally, cans are used to store, transport, or serve food.","Generally, a can can be used to store any type of liquid, including water.",home,"Generally, a home can be attached to an existing structure.","Generally, a home should have at least two bathrooms.",process,"Typically, a process can be composed of multiple steps, each of which can be executed independently.","Typically, a process can consist of several steps.",doghouse,"Generally, a doghouse can be made of wood or metal.","Generally, a doghouse can be attached to an existing house or a new home."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",idol,"Generally, an idol can consist of any number of objects.","Generally, an idol can be made of wood, stone, or metal.",cereal,"Generally, cereals can be found in most grocery stores in the US.","Generally, cereals should be stored in the refrigerator.",home,"Generally, a home can be attached to an existing structure.","Generally, a home should have at least two bedrooms.",emission,"Generally, emissions have declined in the past.","Typically, an emission is caused by a chemical reaction.",nurse,"Generally, a nurse can be found in any hospital in the country.","Generally, a nurse can be considered to be a health professional."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",conveyer,Conveyers are used to move items from one place to another.,"Generally, a conveyer should be designed.",microgreens,"Typically, microgreens produce their color.","Generally, microgreens are grown in greenhouses.",mountain,"Generally, a mountain can be considered to be a large hill.",Mountains can be found in almost every region of the world.,sector,"Generally, sectors are classified according to their level of economic development.","Typically, a sector can consist of multiple sectors.",horseback riding,"Generally, horseback ridings have two main types of ridings.","Generally, horseback riding has become a sport."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",laser,"Generally, a laser may have an output power.","Generally, a laser should be aimed at the object to be imaged.",pickle,"Typically, pickles have a sweet, tangy taste.",Pickle can be used to add flavor to any dish.,genome,"Typically, a genome can consist of thousands of genes.",Genomes can be used to identify genes that contribute to disease risk.,jasmine tea,"Typically, a jasmine tea produces a fruity, floral flavor.","Generally, jasmine teas have a fruity, floral scent.",organic compound,"Generally, organic compounds are formed in the body.","Typically, an organic compound can be broken down by enzymes in the digestive tract."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",bookmark,Bookmarks can be found in your bookmarks folder.,"Generally, a bookmark can consist of a link to an image.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, wild cats have adapted to life in the wild.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring may be born to a single mother.",other organism,"Generally, other organisms may be able to adapt.","Generally, other organisms should be treated with caution.",commuter,Commuters are being urged to use public transport if possible.,"Generally, a commuter can be considered to be someone who travels to work."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",ottoman,Ottomans have always been a nation.,Ottomans are very proud of their country's heritage.,carcinoma,"Typically, a carcinoma should be treated with surgery.","Typically, a carcinoma may be treated with surgery or radiation therapy.",reflector,"Typically, a reflector can consist of an array of individual reflectors.","Reflectors can be made of any material, including glass.",congress,"Congress can be used to change the law, but only Congress can make laws.","Generally, a congress can be considered to be in recess.",crusher,"Typically, a crusher can be made of steel or aluminum.","Generally, a crusher can be considered to be a tool used to crush an object."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",oasis,"Generally, an oasis can be used to create a safe haven.","Generally, an oasis can be considered to be a place.",freshwater crocodile,Freshwater crocodiles should be considered a protected species.,Freshwater crocodiles are found throughout the world's oceans.,doghouse,"Generally, a doghouse can be made of wood or metal.","Generally, a doghouse can consist of any number of different structures.",fat diet,"Generally, a fat diet may have some benefits for people.",Fat diet may be the best way to lose weight.,constrictor,Constrictor can be found in the wild.,"Typically, a constrictor produces its bite by constricting its prey."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",vulture,"Generally, vultures can only eat dead animals.","Typically, vultures may have been scavenging the carcasses.",deck chair,"Typically, deck chairs are designed to be used in a seated position.","Typically, a deck chair may be made of a material.",doghouse,"Generally, a doghouse can be made of wood or metal.","Generally, a doghouse can be attached to an existing house, or it can be built from scratch.",dance floor,"Generally, a dance floor can be made of any material, including wood.","Typically, a dance floor can be attached to a wall, floor, ceiling.",sheath,"Generally, a sheath is used to protect the blade from damage.","Typically, a sheath may have been worn."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",baritone,"Generally, a baritone can be considered to be a male voice.","Generally, a baritone can be considered to be a male voice with high pitch.",progress,"Generally, progress can be slow.","Generally, progress has been made, but we still have a long way to go.",doghouse,"Generally, a doghouse can be made of wood or metal.","Generally, a doghouse can be made of any type of material.",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Typically, other vertebrates may be able to learn.",llamas,"Generally, llamas have been domesticated.","Generally, llamas should be kept in the shade."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",reflector,"Typically, a reflector can consist of an array of individual reflectors.",Reflectors can be used to increase the brightness level.,shower curtain,"Generally, a shower curtain can be made from any material.","Generally, shower curtains are used to cover a shower.",entertainer,"Typically, an entertainer produces his or her own music.",Entertainers are expected to perform.,bear,"Generally, a bear can be found in any forest.","Generally, a bear can be removed from an area if it poses an immediate threat to human safety.",interference,"Generally, interferences have to do with something.","Generally, interferences can be removed from the system."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.",Lowers cholesterol levels may have other benefits.,polo shirt,"Typically, a polo shirt has a button.","Typically, a polo shirt may have a single collar.",emission,"Generally, emissions have declined in the past.","Generally, emissions are expected to decline.",ottoman,Ottomans have always been a nation.,Ottomans have a lot to be proud about.,petal,"Generally, a petal can be considered to be part of a flower's petals.",Petals can be used to decorate a flowerbed.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",assembly line,"Generally, an assembly line can be considered to be the process by which an object is made.","Typically, an assembly line can be found in a plant.",chair,"Generally, chairs have a back.","Generally, a chair is used to support the body.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, a herbivorous animal should be able to eat all of its own vegetation.",mover,"Generally, a mover can be made of any material that can be moved.","Generally, a mover may be considered to be a person who moves an object from place to place.",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.",Lowers cholesterol levels may have beneficial effects on heart health.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Generally, other vertebrates have the ability to detect light.",hours,"During rush hours, you can take the train to the city centre.","During rush hours, you will have to wait.",kingdom,"Generally, a kingdom may be ruled by a king, queen, prince, princess, count, baron, earl, viscount","Typically, a kingdom may have a king, queen, prince, princesses, etc.",piano stool,"Generally, a piano stool can be made of many different materials.","Generally, a piano stool can be made of wood, metal or plastic.",marriage,"Typically, a marriage may have been formed.","Typically, a marriage may have been dissolved by a court."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",malaria parasite,"Typically, a malaria parasite may be transmitted to humans by a bite from an infected animal.","Typically, malaria parasites have evolved to live in the blood.",clause,"Generally, a clause can be found in a contract.","Generally, a clause can be found in a document.",medical condition,"Generally, a medical condition should be evaluated by a doctor.","Typically, a medical condition may have been present for a long time before symptoms appear.",assembly line,"Generally, an assembly line can be considered to be the process by which an object is made.","Generally, an assembly line can be considered to be an assembly process.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily is a flower."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",speaker,Speakers can be made of any material.,Speakers can be attached to any surface.,ink pen,"Generally, an ink pen can be considered to be a writing instrument which is used to write.","Typically, an ink pen can consist of an ink cartridge that is filled with ink.",artichoke,Artichokes can be found in many parts of the world.,"Generally, an artichoke may be eaten fresh.",sailor,"Generally, a sailor can consist of any number of crewmen.",Sailors have long been known for their ability to adapt.,lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.","Generally, a lowers cholesterol levels are better than a higher ones."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",artichoke,Artichokes can be found in many parts of the world.,"Generally, an artichoke can be considered to be an edible vegetable.",microgreens,"Typically, microgreens produce their color.","Generally, microgreens can be harvested.",trigger,"Typically, a trigger produces an electrical impulse.","Generally, a trigger can be considered to be an action that causes an effect.",stand,"Generally, a stand has two main components.","Generally, a stand has two main parts.",horoscope,"Generally, horoscopes can be found in books, newspapers, magazines, or online.","Generally, horoscopes can be found in newspapers, magazines, or online."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",deck chair,"Typically, deck chairs are designed to be used in a seated position.","Typically, a deck chair has a seat.",marriage,"Typically, a marriage may have been formed.","Generally, a marriage can be composed of any number of spouses.",knight,Knights can be made of any material.,Knights are known for their ability to fight.,giver,"Generally, a giver can be used to give something to someone else.","Generally, a giver can be considered to be someone who gives.",carcinoma,"Typically, a carcinoma should be treated with surgery.","Typically, carcinomas are associated with exposure to tobacco."
